12:11:06.395 -> 0.01,0.29,0.96,8.00,4.03,-0.49
12:11:06.513 -> -0.02,0.25,0.95,18.07,1.10,0.49
12:11:06.594 -> 0.02,0.33,0.91,200.32,11.23,14.40
12:11:06.714 -> 0.02,0.77,0.55,230.47,14.71,17.64
12:11:06.790 -> 0.06,1.03,0.14,193.36,25.39,19.78
12:11:06.904 -> 0.04,1.08,-0.16,85.88,5.43,14.10
12:11:06.988 -> 0.10,1.02,-0.17,4.52,-1.89,10.01
12:11:07.112 -> 0.12,1.00,-0.12,-9.34,-3.78,3.78
12:11:07.205 -> 0.12,1.10,-0.14,-26.18,-2.75,-4.33
12:11:07.310 -> 0.10,1.18,-0.09,-118.41,-5.31,-17.64
12:11:07.386 -> 0.05,1.17,0.14,-198.43,-9.46,-31.25
12:11:07.495 -> 0.03,0.78,0.56,-226.26,-9.09,-26.12
12:11:07.610 -> -0.01,0.25,0.90,-146.24,-5.55,-16.60
12:11:07.701 -> 0.01,0.22,0.96,-119.51,-4.58,-11.47
12:11:07.827 -> 0.01,0.01,0.96,-35.28,-2.75,-4.46
12:11:07.899 -> 0.01,0.02,0.98,-4.64,-3.66,-0.24
12:11:08.009 -> -0.00,0.02,1.01,-8.42,-5.49,-4.33
12:11:08.093 -> 0.03,0.01,1.02,-3.72,-3.17,-5.62
12:11:08.202 -> 0.04,-0.01,1.02,3.42,-1.04,-4.52
12:11:08.318 -> 0.03,-0.00,1.04,37.60,2.50,-2.20
12:11:08.400 -> 0.04,-0.08,1.05,108.89,10.62,6.53
12:11:08.524 -> 0.03,0.38,0.86,210.21,21.42,17.40
12:11:08.598 -> -0.00,0.76,0.60,187.74,21.06,15.44
12:11:08.710 -> 0.03,0.84,0.31,190.25,22.22,21.73
12:11:08.792 -> 0.06,0.92,0.01,118.41,20.51,29.05
12:11:08.899 -> 0.11,1.04,-0.15,35.83,10.74,17.21
12:11:09.017 -> 0.14,1.03,-0.21,1.46,7.14,10.68
12:11:09.102 -> 0.17,1.06,-0.20,-18.68,-0.24,0.00
